date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:46:42	146/146	---M--	404	error ('Not%20Found')	text/html	date:Tue,%2008%20Jun%202021%2015:41:58%20GMT	https://demo.dashboardpack.com/robots.txt		(from )
22:46:42	458906/458906	---MCZ	200	added ('OK')	text/html	etag:W/%225ecbaba0-7009a%22	https://demo.dashboardpack.com/architectui-html-pro/	C:/My%20Web%20Sites/admin-1/demo.dashboardpack.com/architectui-html-pro/index.html	(from )
22:46:43	658356/658356	---MCZ	200	added ('OK')	text/css	etag:W/%225ecbaba0-a0bb4%22	https://demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css	C:/My%20Web%20Sites/admin-1/demo.dashboardpack.com/architectui-html-pro/main.d810cf0ae7f39f28f336.css	(from https://demo.dashboardpack.com/architectui-html-pro/)
22:46:43	10340/10340	---M--	200	added ('OK')	image/jpeg	etag:%225ecbaba0-2864%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/abstract2.jpg	C:/My%20Web%20Sites/admin-1/demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/abstract2.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/)
22:46:43	21793/21793	---M--	200	added ('OK')	image/jpeg	etag:%225ecbaba0-5521%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/abstract3.jpg	C:/My%20Web%20Sites/admin-1/demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/abstract3.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/)
22:46:44	12345/12345	---M--	200	added ('OK')	image/jpeg	etag:%225ecbaba0-3039%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/abstract4.jpg	C:/My%20Web%20Sites/admin-1/demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/abstract4.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/)
22:46:44	27386/27386	---M--	200	added ('OK')	image/jpeg	etag:%225ecbaba0-6afa%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/city3.jpg	C:/My%20Web%20Sites/admin-1/demo.dashboardpack.com/architectui-html-pro/assets/images/dropdown-header/city3.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/)
22:46:45	3374/3374	---M--	200	added ('OK')	image/jpeg	etag:%225ecbaba0-d2e%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/1.jpg	C:/My%20Web%20Sites/admin-1/demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/1.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/)
22:46:45	3096/3096	---M--	200	added ('OK')	image/jpeg	etag:%225ecbaba0-c18%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/2.jpg	C:/My%20Web%20Sites/admin-1/demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/2.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/)
22:46:45	2709/2709	---M--	200	added ('OK')	image/jpeg	etag:%225ecbaba0-a95%22	https://demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/3.jpg	C:/My%20Web%20Sites/admin-1/demo.dashboardpack.com/architectui-html-pro/assets/images/avatars/3.jpg	(from https://demo.dashboardpack.com/architectui-html-pro/)
